STATE_FIPS,CNTY_FIPS,STCOFIPS,STATE_NAME,STATE_ABBR,COUNTY,G1V1R,G1V2R,G1V3R,G1V4R,G2V1R,G2V2R,G2V3R,G2V4R,G3V1R,G3V2R,G4V1R,G4V2R,G4V3R,G4V4R,G4V5R,CAG1V1P,CAG1V2P,CAG1V3P,CAG1V4P,CAG1TP,CAG2V1P,CAG2V2P,CAG2V3P,CAG2V4P,CAG2TP,CAG3V1P,CAG3V2P,CAG3TP,CAG4V1P,CAG4V2P,CAG4V3P,CAG4V4P,CAG4V5P,CAG4VTP,CATP,CAG1V1F,CAG1V2F,CAG1V3F,CAG1V4F,CAG1TF,CAG2V1F,CAG2V2F,CAG2V3F,CAG2V4F,CAG2TF,CAG3V1F,CAG3V2F,CAG3TF,CAG4V1F,CAG4V2F,CAG4V3F,CAG4V4F,CAG4V5F,CAG4TF,CATF,Totpop2000,Totalhu,G1V1N,G1V2N,G1V4N,G2V1N,G2V2N,G2V3N,G2V4N,G3V1N,G3V2N,G4V1N,G4V2N,G4V3N,G4V4N,G4V5N
06,087,06087,California,CA,Santa Cruz ,0.1187,0.0413,26396.0,0.1678,0.099,0.2364,0.1592,0.0896,0.3453,0.0859,0.0826,0.0699,0.1085,0.063,0.0353,0.3509,0.3509,0.8772,0.386,0.4912,0.2632,0.2807,0.0526,0.4211,0.0877,0.4737,0.6491,0.5263,0.5789,0.4561,0.5263,0.3333,0.7018,0.4912,0.3158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255602,98873,29383,8342,27684,25308,60435,37895,8171,88255,20638,8164,6916,9893,5738,9034
06,089,06089,California,CA,Shasta ,0.1536,0.0501,17738.0,0.1674,0.1517,0.261,0.2281,0.1042,0.1358,0.0122,0.0469,0.147,0.0497,0.0704,0.0206,0.5439,0.5614,0.4035,0.3684,0.4386,0.7368,0.5614,0.8772,0.6667,0.9298,0.0702,0.1579,0.1228,0.386,0.807,0.2105,0.4211,0.4386,0.3333,0.4737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163256,68810,24556,6303,17952,24766,42612,34643,6618,22169,1873,3226,10115,3150,4465,3367
06,091,06091,California,CA,Sierra ,0.1129,0.0552,18815.0,0.1476,0.173,0.234,0.2164,0.0847,0.1055,0.0094,0.0204,0.0981,0.0382,0.0809,0.0101,0.2632,0.7193,0.4561,0.193,0.2982,0.8596,0.2632,0.7368,0.3509,0.5614,0.0175,0.1053,0.0351,0.0877,0.6667,0.0702,0.6491,0.1053,0.1053,0.1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3555,2202,397,157,375,615,832,730,129,375,32,45,216,58,123,36
06,093,06093,California,CA,Siskiyou ,0.1856,0.0518,17570.0,0.1622,0.1824,0.2386,0.2197,0.0915,0.1636,0.0177,0.0359,0.1576,0.0444,0.0814,0.0157,0.7544,0.5965,0.386,0.2982,0.5088,0.9474,0.2982,0.807,0.5088,0.7368,0.1579,0.2281,0.1754,0.2456,0.8421,0.1579,0.6842,0.2456,0.3158,0.4912,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,44301,21947,8109,1825,4978,8079,10572,9154,1700,7249,744,787,3458,823,1510,694
06,095,06095,California,CA,Solano ,0.0828,0.0381,21731.0,0.1624,0.0947,0.2828,0.1908,0.1081,0.5087,0.0437,0.0891,0.0325,0.0867,0.0657,0.0403,0.1404,0.3158,0.6491,0.3158,0.1579,0.1404,0.6842,0.3684,0.7719,0.4561,0.7368,0.4211,0.5614,0.614,0.1579,0.4912,0.386,0.7193,0.386,0.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394542,134513,31344,11240,40028,37371,111565,66319,14101,200723,16014,11991,4365,11312,8566,15914
06,097,06097,California,CA,Sonoma ,0.0806,0.0284,25724.0,0.1508,0.1254,0.243,0.1773,0.0854,0.2568,0.0548,0.0848,0.0589,0.0682,0.0575,0.0243,0.1053,0.1228,0.8246,0.2281,0.1053,0.5439,0.3684,0.2632,0.3684,0.2456,0.3684,0.4737,0.4386,0.5965,0.4035,0.3684,0.193,0.5439,0.2807,0.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458614,183153,36349,10218,46237,57518,111447,75769,14745,117772,23650,15525,10785,11755,9921,11122
06,099,06099,California,CA,Stanislaus ,0.1598,0.0713,16913.0,0.2964,0.1041,0.3106,0.2148,0.1114,0.4303,0.0874,0.076,0.0543,0.1386,0.0856,0.0167,0.614,0.9474,0.2807,0.807,0.8596,0.3684,0.8596,0.7193,0.807,0.8246,0.5965,0.6667,0.614,0.5088,0.3158,0.7368,0.7544,0.2807,0.5263,0.7193,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,446997,150807,70406,22992,78427,46519,138816,87691,16180,192347,35976,11454,8196,20120,12423,7470
06,101,06101,California,CA,Sutter ,0.1554,0.0703,17428.0,0.2702,0.1208,0.2884,0.204,0.0962,0.4026,0.0932,0.1166,0.0572,0.1128,0.0794,0.0177,0.5614,0.8947,0.3509,0.7368,0.807,0.4912,0.7544,0.5614,0.5965,0.6667,0.5263,0.7193,0.5965,0.7368,0.3684,0.5614,0.5789,0.3509,0.4912,0.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78930,28319,12031,4127,13260,9538,22766,14656,2608,31776,6827,3303,1620,3049,2147,1397
06,103,06103,California,CA,Tehama ,0.1725,0.0533,15793.0,0.2434,0.1594,0.2743,0.2307,0.0998,0.2153,0.0401,0.0415,0.2452,0.0822,0.0774,0.0176,0.6491,0.6491,0.193,0.6667,0.5789,0.7895,0.6316,0.9123,0.614,0.9474,0.2807,0.3684,0.3158,0.2982,0.9298,0.4211,0.5263,0.3158,0.4386,0.6316,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,56039,23547,9503,2270,8826,8930,15372,11962,2105,12067,2105,978,5773,1728,1627,986
06,105,06105,California,CA,Trinity ,0.1865,0.0702,16868.0,0.1898,0.1676,0.2287,0.24,0.0898,0.1375,0.0018,0.012,0.2647,0.0562,0.0582,0.0187,0.7719,0.8772,0.2632,0.4912,0.7368,0.807,0.2105,0.9298,0.4561,0.6491,0.0877,0.0,0.0175,0.0175,0.9649,0.2807,0.2456,0.386,0.1754,0.4211,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,13022,7980,2372,734,1790,2182,2978,2950,501,1791,23,96,2112,314,325,244
